Actor_Name,Number_of_Movies,Average_Revenue,Star_Power_Score
Kaito Ishikawa,2,754208866.5999999,396705179.25253737
Adrián Uribe,1,1109873157.4,396398613.1612937
Niko Antonyan,1,1109873157.4,396398613.1612937
Michael Des Barres,2,752955780.2,396347154.5668231
Soichiro Hoshi,2,751443045.8,395914944.7382517
Liv Tyler,8,484444191.425,395697850.2282894
Aaron Dessner,1,1104642091.0,395526768.76129365
Jack Antonoff,1,1104642091.0,395526768.76129365
Michael S. New,1,1103505485.2,395337334.4612937
Pimchanok Luevisadpaibul,1,1103505485.2,395337334.4612937
Fred Armisen,3,631040211.3333334,395204894.4459703
Zach Callison,4,571638873.4499999,395008223.9297513
Michiko Nomura,7,495683071.5714286,394858335.2139802
Jacques Colimon,2,746815645.5999999,394592830.39539456
Wolfgang Novogratz,2,745475432.6,394209912.39539456
Danny Ramirez,2,744947170.9,394058980.48110884
Vin Diesel,21,427106865.4190476,393760103.6679908
Richard Harmon,3,627152849.9333334,393747133.9209703
Katie Douglas,3,625781438.3333334,393232854.5709703
Igor Petrenko,1,1090691619.2,393201690.1279603
Sergey Gubanov,1,1090691619.2,393201690.1279603
Ivan Batarev,1,1090691619.2,393201690.1279603
Tom Hollander,2,740582820.2,392812023.1382517
Damián Alcázar,5,531680334.32,392692019.3167762
Akira Ishihama,1,1087353777.0,392645383.094627
Brigitte Kali Canales,2,738534844.1,392226887.1096803
Annelise Hesme,1,1084813489.0,392222001.76129365
Pascal Demolon,1,1084813489.0,392222001.76129365
Sara Martins,1,1084813489.0,392222001.76129365
Ahn So-hee,12,449798763.2833333,392123745.9392801
Yuki Mamiya,3,620951010.2666667,391421444.04597026
Donna Lynne Champlin,1,1079234048.0,391292094.92796034
Akiko Hiramatsu,2,734990220.0,391214137.36682314
Miranda Cosgrove,7,488910647.71428573,390907754.6306469
Max Hughes,1,1075683451.4,390700328.8279604
Alejandro Bravo Yañez,1,1075683451.4,390700328.8279604
Miguel Ángel Rogel,1,1075683451.4,390700328.8279604
Anna Gunn,1,1075683451.4,390700328.8279604
Roger Vernon,1,1075683451.4,390700328.8279604
Rubén Doblas Gundersen,1,1075683451.4,390700328.8279604
David Attenborough,1,1075683451.4,390700328.8279604
Hae Il,9,466504844.5555556,390504437.3262688
John Rhys-Davies,4,561238030.5,390385627.06308466
Stephanie Cayo,2,731722806.8000001,390280590.7382517
Aya Hirano,3,617479934.1333333,390119790.49597025
Ikkyu Juku,3,617172589.1333333,390004536.12097025
Hiroaki Iwanaga,3,616453855.5333333,389735011.0209702
Aki Toyosaki,3,616304746.0666667,389679094.9709703
Bella Ramsey,3,614813179.2666667,389119757.42097026
Kazuyuki Okitsu,2,727227336.5,388996170.65253747
April Stewart,4,557003201.85,388503480.996418
Audrey Wasilewski,2,724394297.3,388186730.8811089
Lee Soo,8,471682905.675,387844751.3052125
Kim Hee-won,4,555133988.6500001,387672719.5741958
Norihiko Morishita,1,1056000135.4,387419776.1612937
Minako Naka,1,1056000135.4,387419776.1612937
Keinosuke Okamoto,1,1056000135.4,387419776.1612937
Matt Hill,1,1054685990.0,387200751.92796034
Sam Vincent,1,1054685990.0,387200751.92796034
Tony Sampson,1,1054685990.0,387200751.92796034
Madison Iseman,4,553450817.0,386924643.2853069
Ward Kerremans,1,1052163302.4,386780303.994627
Johan Leysen,1,1052163302.4,386780303.994627
Sallie Harmsen,1,1052163302.4,386780303.994627
Chie Sato,2,717942871.7,386343466.42396605
David James Elliott,1,1046659332.0,385862975.594627
Carina Battrick,1,1046659332.0,385862975.594627
Tara Yelland,1,1046659332.0,385862975.594627
Leïla Bekhti,2,716193442.0,385843629.36682314
Ingrid Thulin,2,716032046.6,385797516.39539456
Hiro Shimono,3,605702702.7333333,385703328.7209703
Jakob Cedergren,2,713468252.7,385065003.8525374
Si Woo,4,549195271.6,385033289.7741958
Naomi Scott,3,603457940.6666666,384861542.9459703
Hiroaki Hirata,4,548623744.6,384779277.7741958
Jason Mantzoukas,1,1039633705.2,384692037.794627
Seo Won,8,466300627.25,384532579.9667509
Alexander Gould,2,709280079.5,383868382.93825173
Trey Parker,7,476678539.0,383772357.8806469
Sandra Echeverría,1,1033452894.2,383661902.6279603
Jennifer Drake,1,1032469156.0,383497946.26129365
Gérard Hernandez,1,1032469156.0,383497946.26129365
Jean Valmont,1,1032469156.0,383497946.26129365
Andrés García,2,707883935.7,383469484.7096803
Emma Bell,2,705949372.5,382916752.36682314
Lana Condor,4,544397349.8499999,382900880.10752904
Masahiro Higashide,3,597562592.2666668,382650787.2959703
Juana Acosta,2,704797963.0,382587778.223966
Lee Eun-mi,12,436102229.48333335,382455604.43339777
Hisako Kanemoto,2,704285165.1,382441264.53825176
Ed O'Neill,1,1025006125.0,382254107.76129365
Trevor Devall,4,542936071.4,382251423.01864016
Crystal Reed,4,541203968.75,381481599.6186402
Josh Duhamel,15,423907664.4266666,381356674.398388
Ahn Min-sang,3,593898757.6666666,381276849.3209703
Pierre Coffin,5,508687766.43999994,381195735.37677616
Sammo Hung,12,434297061.2,381181367.9981037
Leah Purcell,1,1018535083.8,381175600.894627
Rob Collins,1,1018535083.8,381175600.894627
Miguel Ángel Ferriz Sr.,1,1018310539.4,381138176.8279604
Miguel Inclán,1,1018310539.4,381138176.8279604
Alma Rosa Aguirre,1,1018310539.4,381138176.8279604
Amiah Miller,2,699681619.8,381125965.8811089
Min Do-yoon,33,400380389.0666666,381080825.2833621
Morena Baccarin,5,508225467.64,380964585.9767762
Michel Piccoli,2,698745191.3,380858414.8811089
Shree Crooks,1,1016114292.6,380772135.69462705
Anna Torv,1,1016114292.6,380772135.69462705
Cheng Yuen-Man,1,1014981321.6,380583307.19462705
Chung-Sing Choh,1,1014981321.6,380583307.19462705
Choh Chung-Sing,1,1014981321.6,380583307.19462705
Yoo Ji-won,2,697236213.0,380427278.223966
Tomokazu Sugita,5,506361522.36,380032613.3367762
Sakura Ando,1,1010286272.6,379800799.02796036
Mayu Matsuoka,1,1010286272.6,379800799.02796036
Lily Franky,1,1010286272.6,379800799.02796036
Honoka Matsumoto,3,589823425.0666667,379748599.5959703
Robin Atkin Downes,3,589625242.7333333,379674281.2209703
Tia Carrere,6,483716927.76666665,379165462.5607056
Michele Savoia,1,1005931133.4,379074942.494627
Luigi Calagna,1,1005931133.4,379074942.494627
Sofia Scalia,1,1005931133.4,379074942.494627
Rafe Spall,5,504328914.76000005,379016309.53677624
Shima Iwashita,2,690563449.0,378520774.223966
Michael T. Weiss,1,1002554527.0,378512174.76129365
Sofia Carson,8,456446021.97499996,378468207.4898279
Rei Akasaka,5,503068992.75999993,378386348.5367762
Robbie Coltrane,5,502173517.03999996,377938610.6767762
Jackson Yee,3,584874423.6666666,377892724.0709703
Clarence Gilyard Jr.,1,997517367.8,377672648.22796035
Strawberry Yeung,1,997517367.8,377672648.22796035
Keri Lynn Pratt,1,997517367.8,377672648.22796035
Halina Reijn,1,997517367.8,377672648.22796035
Thijs Boermans,1,997517367.8,377672648.22796035
Harry Anderson,1,997517367.8,377672648.22796035
Montserrat Prous,1,997517367.8,377672648.22796035
Lee Suet-Man,1,997517367.8,377672648.22796035
Sarah Thompson,1,997517367.8,377672648.22796035
Jordan Trovillion,1,997517367.8,377672648.22796035
Pina Pellicer,1,997431725.6,377658374.52796036
Ignacio López Tarso,1,997431725.6,377658374.52796036
Enrique Lucero,1,997431725.6,377658374.52796036
Grace Van Dien,2,687497292.5,377644729.5096803
Aleksandr Porokhovshchikov,1,997071462.2,377598330.6279603
Anna Sinyakina,1,997071462.2,377598330.6279603
Mikhail Ulyanov,1,997071462.2,377598330.6279603
Tom Sizemore,10,439223636.76000005,377383659.27785087
Milena Smit,3,583355946.8000001,377323295.24597025
Josef Elizalde,2,684905911.8,376904335.02396595
Bárbara Lennie,3,581053619.8000001,376459922.62097025
Haviland Stillwell,2,683149591.7,376402529.28110886
Martin Freeman,9,444420204.0222222,376307168.411983
Darren Criss,3,579989884.7333333,376061021.9709703
Sumalee Montano,1,986918992.2,375906252.294627
Ali Asistio,3,579491963.0,375874301.3209703
Sosuke Ikematsu,1,986244834.4,375793892.6612937
Gigi Zumbado,1,985255868.8,375629065.06129366
Bibi Andersson,2,679773082.4,375437812.3382517
Hong Sae-hee,3,577845768.1999999,375256978.2709702
Alessandro Alessandroni,1,982770768.8,375214881.72796035
Ennio Morricone,1,982770768.8,375214881.72796035
Silvano Agosti,1,982770768.8,375214881.72796035
Sora Amamiya,7,461540890.9714286,374942063.19731355
Jonathan Groff,3,575936036.7333333,374540828.9709703
Ine Marie Wilmann,1,977795653.4,374385695.8279604
Kim S. Falck-Jørgensen,1,977795653.4,374385695.8279604
Duan Yihong,3,575516269.5333333,374383416.2709702
Robin Dunne,2,675324026.2,374166653.42396605
Fred Tatasciore,10,434377883.85999995,374153157.34451747
Mitsuki Takahata,2,675122178.8,374108982.7382517
Will Friedle,4,524605787.1,374104629.996418
Yuya Yagira,4,524090970.65,373875822.6853069
Ai Hashimoto,2,674119676.7,373822553.5668231
Celia Johnson,1,973912359.0,373738480.094627
Kaan Çakır,1,973912359.0,373738480.094627
Yasemin Kay Allen,1,973912359.0,373738480.094627
Soo Ah,1,973912359.0,373738480.094627
Özcan Deniz,1,973912359.0,373738480.094627
Nick Mancuso,1,973467314.0,373664305.92796034
Brandon Mychal Smith,2,673004423.5,373503909.79539454
Hayashi Risa,2,672829016.5,373453793.5096803
Jaime Lorente,2,672243729.7,373286568.7096803
Manami Numakura,1,969857559.2,373062680.1279603
Mai Fuchigami,1,969857559.2,373062680.1279603
André Dussollier,3,571541035.0,372892703.3209703
Shawn Yue,1,968154371.2,372778815.4612937
Bret Iwan,2,668072281.4,372094726.3382517
Phylicia Rashād,2,666865859.8,371750034.4525374
Aaron Paul,8,445423853.1,371685334.3359817
Kei Satō,2,666107802.6,371533446.68110883
Eiji Okuda,2,666107802.6,371533446.68110883
Chikako Aoyama,2,666107802.6,371533446.68110883
Mary Mouser,1,960466466.0,371497497.92796034
Eric Stonestreet,2,665706108.0,371418676.79539454
Nicole Marie Johnson,2,665544047.7,371372373.85253745
Emily Bader,2,665420260.4,371337006.05253744
Maira Chasseroux,1,958123472.8,371106999.06129366
Ando Camargo,1,958123472.8,371106999.06129366
Alice Barion,1,958123472.8,371106999.06129366
Yume Miyamoto,2,663726518.7,370853079.85253745
Eric Jacobson,2,663714492.8,370849643.8811089
David P. Smith,1,956517298.0,370839303.26129365
Franki Russell,2,663347229.9,370744711.623966
Rowan Smyth,2,663243584.3,370715098.59539455
Tobi Bakre,1,954532207.0,370508454.76129365
Adesua Etomi-Wellington,1,954532207.0,370508454.76129365
Demi Banwo,1,954532207.0,370508454.76129365
Jude Coward Nicoll,1,954434814.8,370492222.72796035
Kayoko Kishimoto,2,661907005.3,370333218.8811089
Hideo Ishikawa,2,661793346.9,370300745.05253744
Anouck Hautbois,2,661743894.2,370286615.7096803
Benjamin Bollen,2,661743894.2,370286615.7096803
Isabella Acres,1,952596757.0,370185879.76129365
Jeff Goldblum,9,434839818.8666666,370148349.3834116
Agostina Belli,1,952321336.0,370139976.26129365
Gianni Macchia,1,952321336.0,370139976.26129365
Françoise Prévost,1,952321336.0,370139976.26129365
Michael Wong,3,563692864.1333333,369949639.24597025
Juhi Babbar,1,950627748.8,369857711.72796035
Aditya Rawal,1,950627748.8,369857711.72796035
Zahan Kapoor,1,950627748.8,369857711.72796035
Oh Jung-se,2,660215782.5,369850012.36682314
Yuki Kaji,9,434177340.64444447,369722470.5262688
Saori Hayami,6,466372865.0333333,369705064.7061601
Anna Ammirati,1,948498291.2,369502802.1279603
Patrick Mower,1,948498291.2,369502802.1279603
Scott Schamell,1,948498291.2,369502802.1279603
Robbie Banfitch,1,948498291.2,369502802.1279603
Angela Basolis,1,948498291.2,369502802.1279603
Jenny McShane,1,948498291.2,369502802.1279603
Ryan Cutrona,1,948498291.2,369502802.1279603
John Barrowman,1,948498291.2,369502802.1279603
Max Parodi,1,948498291.2,369502802.1279603
Zhu Zanjin,2,658816910.7,369450334.7096803
Jessica Moore,1,947468745.8,369331211.22796035
Mary Sellers,1,947468745.8,369331211.22796035
Joshua McDonald,1,947468745.8,369331211.22796035
Moon Jae-hoon,1,947468745.8,369331211.22796035
Chae Ye-jin,1,947468745.8,369331211.22796035
Iris Apatow,1,947468745.8,369331211.22796035
Mao Hamasaki,1,947468745.8,369331211.22796035
Randy Couture,3,561927476.8,369287618.99597025
Kanata Hongo,4,513270019.25,369066510.95197356
Park Joo-bin,6,465200539.56666666,369065614.45161474
Mason Vale Cotton,1,945719756.4,369039712.994627
Guillermo Pfening,2,656633806.7,368826590.7096803
J.K. Rowling,2,654160594.3,368119958.59539455
Isabella Leo,2,653431506.6,367911647.823966
Wyatt White,2,653431506.6,367911647.823966
Etienne Kellici,2,653431506.6,367911647.823966
Charlie Cho,6,462954048.8333333,367840255.8697965
Kirsten Day,2,653106546.2,367818801.9953946
Shinnosuke Mitsushima,2,652996160.1,367787263.1096803
Carlos G. Morollón,1,938053207.2,367761954.794627
Daniel Sobieray,1,937727043.8,367707594.22796035
Lee Jong-won,1,937727043.8,367707594.22796035
Kim Min-soo-II,1,937727043.8,367707594.22796035
Bill Stone,1,937727043.8,367707594.22796035
Olivier Mathot,1,937727043.8,367707594.22796035
Yunjin Kim,1,937727043.8,367707594.22796035
Anna Margaret Hollyman,1,937727043.8,367707594.22796035
Helena Bereen,1,937727043.8,367707594.22796035
Lalor Roddy,1,937727043.8,367707594.22796035
Christos Vasilopoulos,1,937727043.8,367707594.22796035
Kye Seong-yong,1,937727043.8,367707594.22796035
Megan Edwards,1,937727043.8,367707594.22796035
Malena Morgan,1,937727043.8,367707594.22796035
Monica Swinn,1,937727043.8,367707594.22796035
Lina Romay,1,937727043.8,367707594.22796035
JP Karliak,3,557209240.5333333,367518280.3959702
Setsuko Hara,1,936544994.2,367510585.9612937
Chishū Ryū,1,936544994.2,367510585.9612937
Chieko Higashiyama,1,936544994.2,367510585.9612937
Mauricio Paniagua,1,935243953.4,367293745.8279604
Inés Estévez,1,935243953.4,367293745.8279604
Jessica Cambensy,1,933790755.0,367051546.094627
Jack Kao,1,933790755.0,367051546.094627
Andy On,1,933790755.0,367051546.094627
Tim Griffin,2,650257413.6,367004764.1096803
Iain Glen,3,554815577.2666667,366620656.67097026
Robert Clotworthy,2,648764976.9000001,366578353.62396604
Alexis Knapp,2,648518380.8,366507897.59539455
Emily Tennant,2,648094452.0,366386775.08110887
Ursula Buchfellner,3,553699592.4,366202162.3459703
Tress MacNeille,2,646243708.3,365857991.16682315
Romolo Valli,1,926156825.0,365779224.42796034
