Actor_Name,Number_of_Movies,Average_Revenue,Star_Power_Score
Chinatsu Akasaki,2,287674984.5,263409784.36682314
Mark Boone Junior,1,311918067.6,263406098.19462702
James Landry Hébert,1,311918067.6,263406098.19462702
Min Ho,2,287618552.9,263393661.05253744
Juan Minujín,4,275440748.6,263364612.8853069
Peter Sohn,2,287447611.9,263344820.76682314
Kim Soo-ji,4,275301961.45,263302929.7075291
Yoshihisa Kawahara,1,310581759.0,263183380.09462702
Riccardo Scamarcio,4,274886204.15,263118148.68530688
Garry Marshall,1,310043823.0,263093724.09462702
Lee Jun-young,1,309828687.0,263057868.09462702
Remy Hii,1,309828687.0,263057868.09462702
Lee El,1,309828687.0,263057868.09462702
Rupert Friend,3,278605784.5333333,263041984.39597026
Stefania Sandrelli,2,286329616.5,263025393.50968027
Phoebe Cates,3,278492595.06666666,262999538.34597027
Iria del Río,2,286176386.2,262981613.423966
Darby Camp,5,272231033.0,262967368.6567762
John Michael Higgins,2,286084744.6,262955430.1096803
Maya Ito,3,278340017.26666665,262942321.67097026
Efim Petrunin,1,309118887.2,262939568.12796035
Nikita Elenev,1,309118887.2,262939568.12796035
Anthony Franciosa,1,309098017.4,262936089.82796034
Daria Nicolodi,1,309098017.4,262936089.82796034
Christy Chung,2,285844580.79999995,262886811.88110885
Alena Konstantinova,1,308786595.8,262884186.22796035
Egor Koreshkov,1,308786595.8,262884186.22796035
Konstantin Samoukov,1,308786595.8,262884186.22796035
Sarah-Jane Potts,2,285801796.7,262874587.85253742
Eric Tsang,2,285737846.3,262856316.30968028
Kate Upton,2,285632059.3,262826091.45253742
Kohsuke Toriumi,1,308258520.6,262796173.69462702
Belinda Lee,1,308223292.6,262790302.36129367
Geoffrey Horne,1,308223292.6,262790302.36129367
Haley Joel Osment,4,274139903.0,262786459.28530687
Gabriela Pastor,1,308041312.4,262759972.32796034
Gustavo Garzón,1,308041312.4,262759972.32796034
Juan Barberini,1,308041312.4,262759972.32796034
Bethany Joy Lenz,3,277762476.2,262725743.77097026
Jason Momoa,10,267176053.44,262685270.39785078
Izïa Higelin,3,277648416.1333333,262682971.24597025
John Savage,2,285126795.2,262681730.28110886
Margaret Qualley,3,277596898.8,262663652.24597028
Nachi Nozawa,1,307390441.0,262651493.76129368
Charlotte Kirk,1,307351568.6,262645015.02796036
Jonathan Howard,1,307351568.6,262645015.02796036
Christine Chatelain,1,307075984.2,262599084.294627
Rebecca Roberts,1,307075984.2,262599084.294627
Dan Payne,1,307075984.2,262599084.294627
James Wilby,1,306869795.2,262564719.4612937
Jennifer Waris,1,306818621.4,262556190.494627
Frank Grillo,22,264532266.1,262526976.88028747
Jeffrey Donovan,5,271336602.8,262520153.55677623
Jada Alberts,1,306445940.4,262494076.994627
Ju Ji-hoon,3,276866256.6666667,262389661.44597027
Kim Kardashian,1,305560367.8,262346481.5612937
Oriol Pla,1,305560367.8,262346481.5612937
Anna Castillo,1,305560367.8,262346481.5612937
Aurélia Petit,1,305560367.8,262346481.5612937
Ramon Fontserè,1,305560367.8,262346481.5612937
Yuki Sakurai,1,305560367.8,262346481.5612937
Céline Sallette,1,305560367.8,262346481.5612937
Amir Ben Abdelmoumen,1,305560367.8,262346481.5612937
Matthew Barry,1,305560367.8,262346481.5612937
Isabella Ferrari,1,305560367.8,262346481.5612937
Ida Cæcilie Rasmussen,1,305560367.8,262346481.5612937
Guslagie Malanda,1,305560367.8,262346481.5612937
Kayije Kagame,1,305560367.8,262346481.5612937
Flora Ofelia Hofmann Lindahl,1,305560367.8,262346481.5612937
Veronica Lazăr,1,305560367.8,262346481.5612937
Michael Rainey Jr.,1,305560367.8,262346481.5612937
Palma Lindeburg Leth,1,305560367.8,262346481.5612937
Josh Charles,1,305560367.8,262346481.5612937
Sunny Pawar,1,305330864.2,262308230.9612937
Amandeep Singh,1,305330864.2,262308230.9612937
Claudia Gerini,1,305330864.2,262308230.9612937
Martin Kove,2,283718352.0,262279317.93825173
Sanya Malhotra,1,305149461.0,262277997.09462702
Fatima Sana Shaikh,1,305149461.0,262277997.09462702
Jessie T. Usher,5,270755655.56,262229679.93677622
Chin Han,1,304858121.0,262229440.42796034
Diane Farr,2,283467142.4,262207543.76682314
Andrew Buchan,1,304519414.6,262172989.36129367
Ellise Chappell,1,304519414.6,262172989.36129367
Benoît Poelvoorde,3,276019543.3333333,262072143.94597027
Kerris Dorsey,2,282902217.9,262046136.76682314
Mario Temes,1,303727772.6,262041049.02796036
Mario Nalini,1,303727772.6,262041049.02796036
Julie Kendall,1,303727772.6,262041049.02796036
Joanna Kulig,1,302915354.0,261905645.92796034
Mikhail Gorevoy,1,302915354.0,261905645.92796034
Chang Chen,4,272016170.95000005,261842578.3741958
Piotr Witkowski,2,281899100.9,261759531.90968028
Kwon Hae-sung,1,302027407.2,261757654.794627
Kali Reis,1,301731036.4,261708259.6612937
Daniel Henshall,1,301731036.4,261708259.6612937
Mainaku Borrero,1,301731036.4,261708259.6612937
Ryo Yoshizawa,3,274937792.8666667,261666487.52097028
Suet Lee,2,281382922.20000005,261612052.28110886
Oleg Chugunov,1,301123555.2,261607012.794627
Piotr Żurawski,1,301123555.2,261607012.794627
Sebastian Stankiewicz,1,301123555.2,261607012.794627
Olaf Lubaszenko,1,301123555.2,261607012.794627
Glafira Golubeva,1,301123555.2,261607012.794627
Cole Mathewson,1,301123555.2,261607012.794627
Katie Maguire,1,301123555.2,261607012.794627
Ariana Guerra,1,301123555.2,261607012.794627
Sydney Freihofer,1,301123555.2,261607012.794627
Jamie Lee O'Donnell,1,301123555.2,261607012.794627
Timothy Granaderos,1,301123555.2,261607012.794627
Julie Anne Prescott,1,301123555.2,261607012.794627
Artem Zhigulin,1,301123555.2,261607012.794627
Andrea Collins,1,301123555.2,261607012.794627
Portia Chellelynn,1,301123555.2,261607012.794627
Jaden Smith,7,267194968.68571427,261573608.53064686
Sean Harris,4,271356362.7,261549330.26308465
Ian Anthony Dale,1,300547224.8,261510957.72796035
Zack Pearlman,2,280998966.2,261502350.56682312
Ash Stymest,1,300346804.0,261477554.26129368
Karole Rocher,1,300346804.0,261477554.26129368
Hiroki Narimiya,1,300192361.6,261451813.86129367
Kenji Kohashi,1,300192361.6,261451813.86129367
Sean Maguire,2,280785167.0,261441265.08110887
Hiiro Ishibashi,1,300062289.2,261430135.12796035
Seishu Uragami,1,300062289.2,261430135.12796035
Diana Silvers,2,280738038.0,261427799.65253744
DJ Dallenbach,1,299866238.8,261397460.0612937
Daniel Webber,2,280577603.4,261381961.19539458
Nao Toyama,2,280459710.1,261348277.39539456
Charlie Day,4,270777101.25,261291880.72975135
Jeffrey Wahlberg,2,280140220.1,261256994.53825173
Yasukaze Motomiya,1,298947444.2,261244327.62796035
Minako Komukai,1,298947444.2,261244327.62796035
Shôhei Hino,1,298947444.2,261244327.62796035
Andrew Prine,1,298735768.2,261209048.294627
Angie Cheung,1,298705309.0,261203971.76129368
Alex Fong,1,298705309.0,261203971.76129368
Alana Cruise,1,298690257.2,261201463.12796035
Mr. Skin,1,298690257.2,261201463.12796035
Nadia Jay,1,298690257.2,261201463.12796035
Sebastián García Bolster,1,298690257.2,261201463.12796035
Arwen Gold,1,298690257.2,261201463.12796035
Fernando Araujo,1,298690257.2,261201463.12796035
Alina Henessy,1,298690257.2,261201463.12796035
Julia Grandi,1,298690257.2,261201463.12796035
Luis Mario Vitette,1,298690257.2,261201463.12796035
Mychala Lee,1,298454437.0,261162159.76129368
Shaun Dixon,1,298454437.0,261162159.76129368
Ahmet Mümtaz Taylan,1,298222862.4,261123563.994627
Kouhei Nagano,1,298222862.4,261123563.994627
Sho Wantanbe,1,298222862.4,261123563.994627
Yılmaz Erdoğan,1,298222862.4,261123563.994627
Duygu Sarişin,1,298222862.4,261123563.994627
Takashi Kitadai,1,298222862.4,261123563.994627
Przemysław Bluszcz,1,298125647.4,261107361.494627
Piotr Adamczyk,1,298125647.4,261107361.494627
Paweł Domagała,1,298125647.4,261107361.494627
Uma Bracaglia,1,297850716.0,261061539.59462702
Eneko Sagardoy,1,297850716.0,261061539.59462702
Basil Rathbone,3,273286048.93333334,261047083.54597026
Ramiro Blas,1,297572432.0,261015158.92796034
Paula Gallego,1,297572432.0,261015158.92796034
Tessa Kozma,1,297177664.0,260949364.26129368
Lora Burke,1,297177664.0,260949364.26129368
Kristen MacCulloch,1,297177664.0,260949364.26129368
Stephanie Pearson,1,297177664.0,260949364.26129368
Kelly Connaire,1,297177664.0,260949364.26129368
Alexa Yeames,1,297177664.0,260949364.26129368
Vincent Zhao,2,278976554.5,260924518.65253744
Renee Castle,1,296708146.2,260871111.294627
Jerome Pradon,1,296708146.2,260871111.294627
Glenn Carter,1,296708146.2,260871111.294627
Lucy Boynton,5,268034102.64000002,260868903.4767762
Emma Nelson,1,296432421.6,260825157.19462702
Ami Tomite,2,278619501.9,260822503.62396598
Kim Hwa-yeon,2,278603378.8,260817897.023966
Alessandro Momo,2,278564364.7,260806750.13825172
Edoardo Pesce,1,296181163.0,260783280.76129368
Alessandro Roja,1,296181163.0,260783280.76129368
Gabriel Chame Buendía,1,295961253.6,260746629.19462702
Carolina Rosi,1,295961253.6,260746629.19462702
Janfri Topera,1,295961253.6,260746629.19462702
Tong Xiaohu,1,295956304.8,260745804.39462703
Dennis To Yue-Hong,1,295956304.8,260745804.39462703
Yuanli Ruoxin,1,295956304.8,260745804.39462703
Manolo Fábregas,2,278276013.6,260724364.1096803
Judge Reinhold,7,265711817.0,260708436.7139802
Arturo Muselli,1,294763505.4,260547004.494627
Joseph Millson,1,294763505.4,260547004.494627
Jack Kane,1,294763505.4,260547004.494627
Bob Peterson,1,294668448.4,260531161.6612937
Kate Harbour,1,294668448.4,260531161.6612937
Jerome Ranft,1,294668448.4,260531161.6612937
Jamie Bamber,2,277463475.6,260492210.39539456
Christopher Knights,2,277365972.2,260464352.28110886
Ella Newton,1,294248739.2,260461210.12796035
Vince Colosimo,1,294248739.2,260461210.12796035
Diora Baird,4,268886949.4,260451813.24086243
Samantha Eggar,1,294156605.0,260445854.42796034
Anthony Newley,1,294156605.0,260445854.42796034
Gerard Jordan,1,294007250.2,260420961.9612937
Joana Ribeiro,1,294007250.2,260420961.9612937
Julius Erving,1,293853255.2,260395296.12796035
Hank Aaron,1,293853255.2,260395296.12796035
Reggie Jackson,1,293853255.2,260395296.12796035
Ron Jeremy,1,293853255.2,260395296.12796035
Peter Glawson,1,293773121.0,260381940.42796034
Younes Bachir,1,293773121.0,260381940.42796034
Vincent Child,1,293773121.0,260381940.42796034
Isabelle Illiers,1,293773121.0,260381940.42796034
Arielle Dombasle,1,293773121.0,260381940.42796034
Greg Hill,1,293773121.0,260381940.42796034
Cumelén Sanz,1,293773121.0,260381940.42796034
Koichi Sato,1,293773121.0,260381940.42796034
Kazuhiro Yamaji,1,293773121.0,260381940.42796034
Choi Ri,1,293483805.2,260333721.12796035
Joe Ochman,1,293154462.2,260278830.62796035
Jordan Tartakow,1,293154462.2,260278830.62796035
Alison Fernandez,1,292767115.2,260214272.794627
Judy Reyes,1,292767115.2,260214272.794627
Andrew Hunter,1,292767115.2,260214272.794627
Hitomi Kudô,1,292616817.4,260189223.1612937
Sergey Bondarchuk,1,292613589.6,260188685.19462702
Won Seo-hee,1,292263719.2,260130373.4612937
Lee Dae-gon,1,292263719.2,260130373.4612937
Johannah Newmarch,1,292155143.2,260112277.4612937
Gregg Sulkin,1,292155143.2,260112277.4612937
Richard Berry,1,292131114.4,260108272.6612937
Drew Seeley,1,291698420.0,260036156.92796034
Jane Lynch,1,291698420.0,260036156.92796034
Catalina Martin,1,291486030.2,260000758.62796035
Daniel Antivilo,1,291486030.2,260000758.62796035
Macarena Carrere,1,291486030.2,260000758.62796035
Josh Kelly,1,291353534.2,259978675.9612937
He Zhang,1,291339353.2,259976312.4612937
Xuan Xiaoming,1,291339353.2,259976312.4612937
Jin Yi,3,270377710.1333334,259956456.49597028
Tyler Hoechlin,3,270351846.73333335,259946757.72097027
Anthony Perkins,3,270324882.46666664,259936646.12097025
Tatsuya Fuji,1,290912102.0,259905103.92796034
Ariel Besse,1,290912102.0,259905103.92796034
Eiko Matsuda,1,290912102.0,259905103.92796034
Gloria Guida,1,290912102.0,259905103.92796034
Lee Young-ae,2,275267066.8,259864665.023966
Shia LaBeouf,16,261716212.47500002,259808472.4365601
Staff Sgt. Colin Sullivan,1,289660619.0,259696523.42796034
Louis Koo,6,264644031.86666667,259671155.7061602
Will Sasso,2,274155100.4,259546960.3382517
Pinky Cheung,2,274141462.1,259543063.68110886
George Dzundza,3,269260569.26666665,259537528.67097026
Diana Scarwid,1,288693989.0,259535418.42796034
Kim Dong-woo,1,288568132.4,259514442.32796034
Song In-ho,1,288568132.4,259514442.32796034
Tae-Hyeon Min,1,288568132.4,259514442.32796034
Kim Hye-yeon,1,288568132.4,259514442.32796034
Hye Seong,1,288568132.4,259514442.32796034
Im Soo-bin,1,288568132.4,259514442.32796034
Lee Duk-jin,1,288568132.4,259514442.32796034
Sarah Edmondson,1,288510422.8,259504824.0612937
Venus Terzo,1,288510422.8,259504824.0612937
Kim Seon-yong,1,288405522.6,259487340.69462702
Heo Ye-chang,1,288405522.6,259487340.69462702
Qu Chuxiao,1,287716494.2,259372502.62796035
Li Guangjie,1,287716494.2,259372502.62796035
Jerry Seinfeld,1,287594577.0,259352183.09462702
Antoine Duléry,1,287419513.4,259323005.82796034
Erik von Detten,1,287419513.4,259323005.82796034
Kev Adams,1,287419513.4,259323005.82796034
Jean Rochefort,1,287419513.4,259323005.82796034
Brigitte Fossey,1,287419513.4,259323005.82796034
Camille Lou,1,287419513.4,259323005.82796034
Jean-Pierre Marielle,1,287419513.4,259323005.82796034
Gérard Jugnot,1,287419513.4,259323005.82796034
Louka Meliava,1,287419513.4,259323005.82796034
Luke Newton,1,287132333.8,259275142.5612937
Tim Rozon,1,287132333.8,259275142.5612937
Katherine Barrell,1,287132333.8,259275142.5612937
Allen Payne,2,273183986.3,259269499.16682315
Irene Bedard,2,272944094.1,259200958.53825173
Yuko Minaguchi,2,272899973.0,259188352.50968027
Zoë Bell,2,272798113.2,259159249.7096803
Marcus Rosner,1,286421986.2,259156751.294627
Miranda Frigon,1,286421986.2,259156751.294627
Eleanor Parker,1,286213504.0,259122004.26129368
Tom Stourton,1,286173694.4,259115369.32796034
Charly Clive,1,286173694.4,259115369.32796034
Cheng Yi,1,285766063.0,259047430.76129368
Stana Katic,4,265704613.55,259037441.75197357
Mary J. Blige,1,285047855.0,258927729.42796034
Leonor Varela,2,271982949.3,258926345.73825172
Sydney Thomas,1,284962902.4,258913570.6612937
Nevin Kar,1,284962902.4,258913570.6612937
Julieta Cortes,1,284962902.4,258913570.6612937
Tom Courtenay,2,271863408.4,258892191.19539458
Emily Chu Bo-Yee,1,284648895.8,258861236.22796035
Ku Feng,1,284648895.8,258861236.22796035
Laura Antonelli,3,267412554.0666667,258844522.97097027
Darcey Ewart,1,284184080.0,258783766.92796034
Marianne Jean-Baptiste,2,271458524.7,258776510.13825172
Jim Cummings,12,260874099.96666667,258765160.0686919
Stefanie Scott,3,267178946.79999998,258756920.24597025
Charlyne Yi,1,283819551.8,258723012.22796035
Natalee Linez,1,283691881.2,258701733.794627
Emma Deckers,1,283691881.2,258701733.794627
Dakota Gorman,1,283691881.2,258701733.794627
Mahiro Takasugi,2,271165107.3,258692676.59539458
James Franco,17,260149494.52941176,258684542.20762554
Toshihiko Seki,1,283514513.6,258672172.52796036
Nobuo Tobita,1,283514513.6,258672172.52796036
Youko Sakamoto,1,283514513.6,258672172.52796036
Billy Magnussen,2,271021421.1,258651623.39539456
Asami Ogawa,2,270614313.4,258535306.90968028
Malachi Pearson,1,282300000.0,258469753.59462702
Luisa Gavasa,1,281847101.4,258394270.494627
Bárbara Goenaga,1,281847101.4,258394270.494627
Traci Lords,1,281823245.2,258390294.4612937
AnnaLynne McCord,1,281823245.2,258390294.4612937
Choi Min-sik,6,262277259.73333335,258380189.08797836
Andrzej Grabowski,1,281762561.4,258380180.494627
Karolina Gruszka,1,281762561.4,258380180.494627
Dorota Kolak,1,281762561.4,258380180.494627
Julie Hamilton,1,281538098.0,258342769.92796034
Holly Hunter,8,261222140.75,258330434.4282894
Mike Colter,3,265692638.0,258199554.44597027
Cinzia Roccaforte,2,269435883.4,258198612.62396598
Kandido Uranga,2,269296755.4,258158861.76682314
Pim Bubear,1,280137286.4,258109301.32796034
Eugenia Yuan,1,280137286.4,258109301.32796034
Dustin Nguyen,1,280137286.4,258109301.32796034
Raúl Escudero,1,280089513.4,258101339.1612937
Ulrich Tukur,1,280089513.4,258101339.1612937
Elena Furiase,1,280089513.4,258101339.1612937
Natalia Álvarez-Bilbao,1,280089513.4,258101339.1612937
Sasha Grey,1,280052393.0,258095152.42796034
Monique Alexander,1,280052393.0,258095152.42796034
Mike Stabile,1,280052393.0,258095152.42796034
Audrey Hollander,1,280052393.0,258095152.42796034
Self - Porn Performer,1,280052393.0,258095152.42796034
Noelle Perdue,1,280052393.0,258095152.42796034
James Norton,4,263513297.35000002,258063523.44086245
Bing Russell,1,279854594.0,258062185.92796034
James Marsters,1,279809037.0,258054593.09462702
Judi Bowker,2,268807444.0,258019058.50968027
Burgess Meredith,2,268807444.0,258019058.50968027
Harry Hamlin,2,268807444.0,258019058.50968027
Kevin J. O'Connor,3,265093770.33333334,257974979.07097027
Rajeshwari Sachdev,1,279278382.2,257966150.62796035
Anita Smirnova,1,279278382.2,257966150.62796035
Amy Lindsay,1,279278382.2,257966150.62796035
Juan Pablo Medina,1,279278382.2,257966150.62796035
Li Xianshi,1,279278382.2,257966150.62796035
Ivan Baccarat,1,279278382.2,257966150.62796035
Robert Gilabert Cuenca,1,279278382.2,257966150.62796035
Juan Pablo Campa,1,279278382.2,257966150.62796035
Patricia Garza,1,279278382.2,257966150.62796035
Maurice Denham,1,278909359.2,257904646.794627
Gordon Heath,1,278909359.2,257904646.794627
Sayuri Yahagi,1,278909359.2,257904646.794627
Kate Micucci,2,268342522.10000002,257886223.68110886
José Zúñiga,1,278794085.8,257885434.5612937
Betty Buckley,1,278754594.0,257878852.59462702
Anton Shagin,1,278663367.8,257863648.22796035
Braeden Lemasters,1,278663367.8,257863648.22796035
Mikhail Efremov,1,278663367.8,257863648.22796035
Pavel Derevyanko,1,278663367.8,257863648.22796035
Miyuki Sawashiro,5,261917393.51999998,257810548.91677618
Jonas Strand Gravli,1,278331290.6,257808302.02796036
Choi Chul-min,2,267917211.0,257764706.223966
Isaiah Mustafa,1,278054690.6,257762202.02796036
Sergio Malheiros,1,277948016.0,257744422.92796034
Deja Monique Cruz,1,277948016.0,257744422.92796034
Aimee Garcia,1,277948016.0,257744422.92796034
Gessica Kayane,1,277948016.0,257744422.92796034
Anderson Silva,2,267821633.0,257737398.223966
Maya Rudolph,7,260600930.77142859,257727086.4139802
Rebecca Hanssen,1,277746658.6,257710863.36129367
Nanna Blondell,1,277746658.6,257710863.36129367
Anastasios Soulis,1,277746658.6,257710863.36129367
Christopher Dane,1,277746658.6,257710863.36129367
Jemima West,1,277746658.6,257710863.36129367
Lee Sung-min,2,267707416.0,257704764.79539457
Kenji Utsumi,3,264309390.79999998,257680836.74597025
You Chea-myung,2,267615412.8,257678478.16682315
Li Bingbing,2,267589378.0,257671039.65253744
Chris Farley,2,267563085.9,257663527.623966
Ben Aldridge,2,267526543.6,257653086.96682316
Camilla Sparv,1,277238035.8,257626092.89462703
Jon Abrahams,1,277200000.0,257619753.59462702
Kim Ji-ah,7,260152776.40000004,257465663.03064686
Esteban Lamothe,1,276260104.4,257463104.32796034
Lu Grasso,1,276260104.4,257463104.32796034
Makoto Furukawa,3,263710225.86666664,257456149.89597026
Yalitza Aparicio,2,266793153.9,257443547.05253744
Connor Swindells,1,276032164.8,257425114.39462703
Ramya Krishnan,1,275947313.0,257410972.42796034
Laurent Lafitte,1,275922017.6,257406756.52796036
Bernie Mac,2,266581152.3,257382975.16682315
Haley Lu Richardson,4,261965095.75,257375433.84086245
Pauley Perrette,1,275386400.2,257317486.9612937
Matthew Settle,2,266108228.0,257247853.93825173
Mari Natsuki,1,274925095.0,257240602.76129368
Rumi Hiiragi,1,274925095.0,257240602.76129368
Harrison Chad,1,274833060.0,257225263.59462702
Rhea Perlman,3,263060582.33333334,257212533.57097027
Ja Rule,3,262988546.53333333,257185520.14597028
Bee Vang,1,274543085.0,257176934.42796034
Christopher Carley,1,274543085.0,257176934.42796034
Sanae Fuku,1,274286661.6,257134197.19462702
Keiko Suzuki,1,274286661.6,257134197.19462702
Adam Beach,2,265624696.7,257109702.13825172
Del Moore,1,273814019.0,257055423.42796034
Stella Stevens,1,273814019.0,257055423.42796034
Marina Foïs,4,261091180.05,256987026.86308467
Russell Brand,5,260235494.4,256969599.3567762
Ahn Seo-hyun,1,273230203.2,256958120.794627
Chazz Palminteri,5,260110738.4,256907221.3567762
Donny Lucas,1,272878258.8,256899463.39462703
William Townsend,1,272878258.8,256899463.39462703
Matt Lanter,6,259527111.4333333,256880108.19706923
Samuel E. Wright,2,264595864.0,256815749.93825173
Franco Interlenghi,1,272096151.2,256769112.12796035
Andrea Occhipinti,1,272096151.2,256769112.12796035
Tang Yan,2,264382065.0,256754664.50968027
Yang Mi,2,264378165.6,256753550.39539456
Callard Harris,1,271939728.6,256743041.69462702
Alexandria DeBerry,1,271939728.6,256743041.69462702
Megan Fox,12,257974736.38333336,256718550.48045665
Michael Ian Black,1,271669045.6,256697927.86129367
Gilles Cohen,1,271669045.6,256697927.86129367
Pierre Niney,1,271669045.6,256697927.86129367
Naohiro Hirakawa,1,271669045.6,256697927.86129367
Lizze Broadway,1,271669045.6,256697927.86129367
Piper Curda,1,271669045.6,256697927.86129367
Rubén Cortada,1,271669045.6,256697927.86129367
Asier Rikarte,1,271669045.6,256697927.86129367
Óscar Ortuño,1,271669045.6,256697927.86129367
Reiko Yamaguchi,1,271669045.6,256697927.86129367
Akane Yazaki,1,271669045.6,256697927.86129367
Malena Alterio,1,271669045.6,256697927.86129367
Santiago Segura,7,258829082.14285713,256693508.0473135
Audie Murphy,2,264017287.7,256650442.423966
Maury Sterling,2,263989614.5,256642535.79539457
Mana Ashida,2,263923881.2,256623754.85253742
Julie Kavner,2,263536243.5,256513001.223966
Cosmo Jarvis,2,263454558.1,256489662.5382517
Julia Cheng Yim-Lai,1,269916224.0,256405790.92796034
Dick Lau Tik-Chi,1,269916224.0,256405790.92796034
William Ho Ka-Kui,1,269916224.0,256405790.92796034
Sasha Lane,2,263049797.4,256374016.623966
Javier Botet,4,259636740.0,256340609.06308466
Kyra Elise Gardner,1,269440443.4,256326494.1612937
Sadie Sink,2,262696404.4,256273047.19539458
Robert Englund,10,257539811.08,256261108.82451746
Nat Faxon,2,262635799.3,256255731.45253742
Helen Reddy,1,268973914.6,256248739.36129367
Jim Dale,1,268973914.6,256248739.36129367
Sean Marshall,1,268973914.6,256248739.36129367
Sarsi Emmanuelle,1,268943590.2,256243685.294627
Maria Isabel Lopez,1,268943590.2,256243685.294627
Mira Manibog,1,268943590.2,256243685.294627
JJ Feild,2,262562164.5,256234692.93825173
Avery Whitted,1,268769382.6,256214650.69462702
Laysla De Oliveira,1,268769382.6,256214650.69462702
Alan Arkin,7,257976865.1714286,256196381.48064688
Zhang Jingchu,1,268331114.4,256141605.99462703
Raphaël Personnaz,2,262080680.9,256097126.19539458
Peter Behn,1,268000000.0,256086420.26129368
Donnie Dunagan,1,268000000.0,256086420.26129368
Stan Alexander,1,268000000.0,256086420.26129368
Lautaro Delgado Tymruk,1,267726003.8,256040754.22796035
Gerardo Romano,1,267726003.8,256040754.22796035
Houko Kuwashima,2,261449524.5,255916795.79539457
Victor Garber,1,266970289.8,255914801.89462703
Carly Schroeder,2,261329843.1,255882601.1096803
Jun Ji-hyun,5,258032517.95999998,255868111.1367762
Jodie Turner-Smith,2,261080278.7,255811296.9953946
Moka Kamishiraishi,2,261048552.7,255802232.423966
Alejandro Sieveking,1,266160413.6,255779822.52796036
Hannelore Hoger,1,266160413.6,255779822.52796036
Alfred Edel,1,266160413.6,255779822.52796036
Ênio Gonçalves,1,266160413.6,255779822.52796036
Sérgio Hingst,1,266160413.6,255779822.52796036
Cristina Martinez,1,266160413.6,255779822.52796036
Antonia Zegers,1,266160413.6,255779822.52796036
Sigi Graue,1,266160413.6,255779822.52796036
Masakazu Arai,1,265791981.0,255718417.09462702
Uran Hirosaki,1,265791981.0,255718417.09462702
Harumi Kai,1,265791981.0,255718417.09462702
Chris O'Dowd,3,259073563.6,255717401.54597026
Jo Wan-jin,9,256807786.08888885,255699185.45484012
Victoria Agalakova,2,260460643.8,255634258.45253742
Yukino Kishii,1,264583010.6,255516922.02796036
Quinn Carrillo,1,264583010.6,255516922.02796036
Kit Thompson,1,264583010.6,255516922.02796036
Damian Chapa,2,259896156.3,255472976.30968028
Michael Ironside,6,256890252.5,255441821.5061602
Noah Emmerich,1,264118201.0,255439453.76129368
Peter Mensah,1,264107107.4,255437604.82796037
Pablo Rago,2,259745770.7,255430008.9953946
Jay Pharoah,2,259709480.6,255419640.39539456
John McAfee,1,263932136.0,255408442.92796034
Eben Britton,1,263932136.0,255408442.92796034
Dr. Wendy Brown,1,263932136.0,255408442.92796034
Huang Zhizhong,2,259629954.5,255396918.65253744
Maureen O'Hara,3,258170599.33333334,255378789.94597027
Melody Hurd,1,263222986.6,255290251.36129367
Philippe Nahon,2,259185050.7,255269803.28110886
Saeko Kuga,2,259132949.8,255254917.30968028
Kristanna Loken,2,259090719.2,255242851.423966
Bradley Pierce,1,262758310.0,255212805.26129368
Jung Yu-mi,3,257678511.46666667,255194256.99597025
Alexandra Daddario,10,255924443.92,255184197.38451746
Scott McAfee,1,262387752.0,255151045.59462702
Heather Hogan,1,262387752.0,255151045.59462702
Alec Medlock,1,262387752.0,255151045.59462702
Glenn Fleshler,1,262024051.2,255090428.794627
Wim Snape,1,261249383.0,254961317.42796034
Diego Boneta,2,258097095.3,254958958.88110888
Dorian Holley,1,261200000.0,254953086.92796034
Kenny Ortega,1,261200000.0,254953086.92796034
Mark Hildreth,2,258006013.4,254932935.48110884
Chul Jin,3,256831052.73333335,254876459.97097027
Danielle C. Ryan,2,257710043.8,254848372.73825172
Ruth Negga,2,257702358.1,254846176.823966
Kevin Hernandez,1,260397333.2,254819309.12796035
Ikue Otani,27,254997648.17777774,254795469.44899255
Lee Sun-kyun,4,256051739.5,254747275.5075291
Bong Tae-gyu,1,259934071.2,254742098.794627
Kim Ye-won,1,259934071.2,254742098.794627
Paulina Gil,1,259379650.4,254649695.32796037
Armando Gutiérrez,1,259379650.4,254649695.32796037
Nick Miller,1,259379650.4,254649695.32796037
Lisette Morelos,1,259379650.4,254649695.32796037
Samuel Caleb Walker,1,259379650.4,254649695.32796037
Haaz Sleiman,1,258973331.6,254581975.52796036
Louis Jourdan,3,255979835.20000002,254557253.39597028
Steven Weber,2,256641123.9,254542967.05253744
April Scott,1,258679249.4,254532961.82796037
Pat Kelly,1,258404301.8,254487137.22796035
Riley Griffiths,1,257972745.0,254415211.09462702
Lio Tipton,4,255290391.5,254408898.6186402
Jake Johnson,2,256081051.0,254382946.223966
Sergey Dvoynikov,1,257720413.2,254373155.794627
Raf Vallone,1,257720413.2,254373155.794627
Kerwin Mathews,1,257720413.2,254373155.794627
Ann Robinson,1,257720413.2,254373155.794627
Jin Muraki,1,257720413.2,254373155.794627
Christina Leone,1,257720413.2,254373155.794627
Dirk Benedict,1,257720413.2,254373155.794627
Matt Lauria,1,257720413.2,254373155.794627
Iwar Wiklander,1,257720413.2,254373155.794627
Lorne Greene,1,257720413.2,254373155.794627
Gene Barry,1,257720413.2,254373155.794627
David Wiberg,1,257720413.2,254373155.794627
